,Static - Unconstrained,Static - Beta-neutral,Kalman (RW) - Unconstrained,Kalman (RW) - Beta-neutral,Kalman (MR) - Unconstrained,Kalman (MR) - Beta-neutral,LASSO - Unconstrained,Benchmark (EW) - Unconstrained,LASSO - Beta-neutral,Benchmark (EW) - Beta-neutral
2019-12-31,0.006271785817355113,0.0008169162594437833,0.03472407871909122,-0.0061184982527212085,0.03501750203026692,-0.006366834653238031,0.04967814995374305,0.012406462369400023,-0.00971511060831877,-0.0068575820592499505
2020-03-31,-0.14525091120099543,-0.1523788938993375,-0.16268383010278642,-0.09060061825741164,-0.15697947930268677,-0.08365065535875982,-0.1229204515749382,-0.12516758702659997,-0.03771483354574864,-0.10525047322699999
2020-06-30,0.07426208763809278,0.009559879630178604,0.14401166794035963,0.06541210830787231,0.1331079582241152,0.034673014868307116,0.1322335413111857,0.042795076510400085,0.046608557010727025,-0.0036446358039998513
2020-09-30,0.06441888039282555,-0.026388788431243808,0.06321672177835701,0.0012180063723610489,0.062232094289064385,-0.0009997891250498186,0.107537681137786,-0.001162402997599999,0.034577426464609644,-0.025824242360999977
2020-12-31,0.03834300808540713,0.0417808519579478,0.03993555639103152,0.038452588728470974,0.02709839216567376,0.019882783505337072,0.023995651181465565,0.06643732008939987,0.016360411075924872,0.0450493106557498
2021-03-31,0.021641646857680302,-0.014639670337118924,0.11700350584581576,0.1229063447444068,0.09044298057982826,0.08722435722644778,-0.0033564180531534954,0.08951411731939998,-0.014248187864178613,0.09693125954224996
2021-06-30,0.06935715882646515,0.014248352402592005,0.043844412987305,-0.0037779409706632378,0.05046761022398044,0.00581921878343578,0.0727998809395112,0.01080897308500006,0.014900315906150784,-0.006859794830999949
2021-09-30,-0.0038471231547836417,-0.03735862263347719,0.007557557755356554,-0.014020951760859077,0.009371466616830528,-0.010842225821107004,0.0012044134806919846,0.0029629326528000394,-0.025088440201048216,0.004356089116
2021-12-31,0.0757383075479783,-0.05668207493078602,0.19654969060462196,0.13175905029947993,0.2006270791635948,0.1383772082982053,0.18796552392512605,0.048681876944199884,0.10409352840961608,0.039988666254249905
2022-03-31,0.00016158686609524242,-0.016866577210980033,0.047631359859089534,0.028840212077706928,0.06640475179620849,0.05669777615570068,-0.010508640234351413,0.03418217948299996,-0.018713921998827668,0.05639048741374998
2022-06-30,-0.10452730765701518,-0.06340368945730851,-0.010382220688249372,0.09382281032076072,-0.014407092063466909,0.09133745068309448,-0.04011987795870807,0.00761383760100005,0.04762570265753887,0.05275078563125
2022-09-30,-0.05380490789621593,0.022045442081768715,-0.11425900012170352,-0.07678533161843545,-0.11893339927508517,-0.08495310472336,-0.09898426198201273,-0.03542738212439998,-0.06109298933573144,-0.03326219938699998
2022-12-31,0.13347116842565637,0.0321557519526207,0.22229325557062282,0.1812307828519414,0.22477021302208455,0.18611366467086493,0.17962019041504088,0.0803658411188,0.1389444718428379,0.0861712385215
2023-03-31,0.0594810919533469,0.07293567138925633,-0.020919729466726055,-0.05103438361474835,-0.008555941506742923,-0.03766370800394769,0.03553282250371932,-0.032424662408399904,0.006076744384702917,-0.05664708666549993
2023-06-30,0.044329736208790375,0.01569093151901602,0.01968166341251046,-0.010943819599312732,0.01897047355049316,-0.01603299066660345,0.04330747453069117,-0.01055245185599998,0.0076790359158784155,-0.03190113807849998
2023-09-30,-0.054680747792356196,-0.08505297162014143,-0.03439817261592328,-0.029722382026688966,-0.025247863554154093,-0.017068501545348967,-0.0511312388976129,-0.00114092964979998,-0.0544375220739714,0.009814460340749977
2023-12-31,0.026100500805032616,-0.031037945254978806,0.014299520572066985,-0.03474328306363579,0.007830691501278936,-0.05034914637924365,-0.022451272243674873,0.030535986610599947,-0.06666237629907255,0.011758436813249952
2024-03-31,0.007484583500640372,-0.051379322434668716,0.019443206101675943,-0.0619840520068751,0.019680928049549632,-0.05612066956395029,0.006630234172549581,-0.005428799249199961,-0.0664167852919007,-0.028892954342499926
2024-06-30,-0.03044088083382157,-0.051290996546375395,0.014340638780540642,-0.01870368713998647,0.01774310357039017,-0.012125746035773925,0.018760565159320328,-0.01811635651599998,-0.017030199531221004,-0.02828108404499995
2024-09-30,0.025960303485860266,0.01895045905087776,0.037555865324640954,0.029775561606135502,0.03518310051552335,0.026615306155249777,0.04212344052380193,0.023363731271000002,0.03494908522287567,0.017632312072249974
2024-12-31,-0.011828988477998532,-0.013503441399018233,-0.018463337893449797,-0.029616394330246015,-0.018995079648635324,-0.030358080170735536,-0.011507442356357398,-0.00777672142119998,-0.021387044494102142,-0.014955068876499975
2025-03-31,-0.14596711726382722,-0.15938844146249115,-0.051292855846883686,-0.06615766888699481,-0.05235294001637841,-0.06654034199352335,-0.0886479594406579,-0.00744438531140002,-0.09886396808027617,0.005962856470749925
2025-06-30,0.10566354346562376,0.07866778672238714,0.022736223247714932,-0.062107808554322776,0.043039266335180126,-0.032907562356194964,0.0014514205889829307,-0.006496044112400043,-0.06430454751538837,-0.03382084030450003
2025-09-30,-0.030433635795010933,-0.04796579121286116,-0.008000878151935814,-0.046584767346923676,-0.004883752465612002,-0.040424978212127316,-0.0028643500312985166,0.01285016026560002,-0.03194315313245161,-0.0023802122799999994
2025-12-31,-0.09139791197086646,-0.09475516131454281,-0.04252663842779453,-0.05764816568196712,-0.05008354232058929,-0.06657748490382702,-0.04664924656211631,-0.005034701025600022,-0.05879124351687291,-0.009945559214000001
2026-03-31,0.009978309277213368,0.021579500444268984,0.027958662824060346,0.0802756068079165,0.024237524957435017,0.06963690248383603,-0.014554352891222526,0.036054240488799905,0.021065643778065364,0.05840218666799985
2026-06-30,-0.04901439782611097,-0.1106185798100266,-0.036943378048832506,-0.13536333716223364,-0.04109981922542677,-0.14996780040418226,0.0013412714011094284,-0.015666438000000022,-0.04302508439295532,-0.0579269225
