,Beta-neutral,Beta-neutral,Beta-neutral,Beta-neutral,Unconstrained,Unconstrained,Unconstrained,Unconstrained,Unconstrained,Benchmark (EW),Benchmark (EW),Benchmark (EW),Benchmark (EW),Benchmark (EW)
,SMB,HML,RMW,CMA,MKT_RF,SMB,HML,RMW,CMA,MKT_RF,SMB,HML,RMW,CMA
date,,,,,,,,,,,,,,
2012-05-31,0.7800285884631785,-0.2287992377180463,1.3359036859683893,1.3227731534359468,0.5122248724604611,0.43485542838629143,-0.4015976037451698,1.6713157506718042,1.339830189998492,0.2,0.2,0.2,0.2,0.2
2012-06-30,0.8242791065453052,-0.40214725546026836,1.2799044194213156,1.3417484439338219,0.5128180328127716,0.4625167558131446,-0.540213377679125,1.643816136635236,1.3925425964633942,0.2,0.2,0.2,0.2,0.2
2012-07-31,0.8481168019005784,-0.4251893747069262,1.3515778431348522,1.5002527786558555,0.5199814855357975,0.4607020307255399,-0.5531995407349202,1.6802491684944512,1.4845047921576757,0.2,0.2,0.2,0.2,0.2
2012-08-31,0.8887608308473941,-0.3762965647094345,1.3357322295492449,1.4449602313192795,0.6082574666968218,0.3827948950412265,-0.5156789831075794,1.639293174520725,1.3492653905358012,0.2,0.2,0.2,0.2,0.2
2012-09-30,0.7806692168853655,0.3041119905003124,1.207268091450186,0.9721176685789573,0.6285087271413604,0.2796414208389426,-0.0682159807961559,1.538057254091687,1.007123523163477,0.2,0.2,0.2,0.2,0.2
2012-10-31,0.7247444313129967,0.32222120863758413,1.1752703390657868,1.1394865892738664,0.6487483310492275,0.19752370129415198,-0.07875226646232678,1.5121506225366588,1.204303850313744,0.2,0.2,0.2,0.2,0.2
2012-11-30,0.7985539025656929,0.31181584809238666,1.2300205609451262,1.1094556682550416,0.5529778435042637,0.32997434732575825,-0.014999298123914886,1.5335209774198872,1.2691038316502674,0.2,0.2,0.2,0.2,0.2
2012-12-31,0.8732499839821849,0.10646577940473184,1.4662898191792824,1.0338925498725133,0.6293168689775109,0.2814319146192953,-0.20819367025012656,1.7026523408360645,1.1618217102218318,0.2,0.2,0.2,0.2,0.2
2013-01-31,0.9317627086400674,0.0443876886658187,1.463249608055035,1.1438416295933997,0.682703978291921,0.2216844986875624,-0.2778382061566827,1.6194020460428753,1.2023179905805115,0.2,0.2,0.2,0.2,0.2
2013-02-28,0.8555507011686149,0.2528760662064523,1.4287939351021497,1.0340109779076465,0.7538303686959826,0.044619362936152165,-0.19925493378525744,1.5317089541897047,1.0486008283465016,0.2,0.2,0.2,0.2,0.2
